area,h1,h2,h3,h4,h5,h6,h7
13715,0.436775,0.042251,0.000824372,0.00012261,2.87558e-08,2.24769e-05,2.6317e-08,
13676.5,0.436406,0.0424076,0.000802525,0.000129254,3.14996e-08,2.40816e-05,2.72163e-08,
13667,0.434158,0.0414305,0.000591126,9.00157e-05,1.68182e-08,1.76342e-05,1.2178e-08,
13631.5,0.43602,0.0416896,0.000623099,8.9406e-05,1.66056e-08,1.72881e-05,1.30214e-08,
13626.5,0.436836,0.041707,0.000621879,9.42945e-05,1.87823e-08,1.84688e-05,1.29853e-08,
13638,0.441173,0.0441285,0.000596045,0.000106041,2.07595e-08,2.10439e-05,1.67265e-08,
13615.5,0.438794,0.0426795,0.000673486,9.80989e-05,1.93242e-08,1.91128e-05,1.6198e-08,
13624.5,0.440428,0.0433382,0.000857286,0.000112005,2.64292e-08,2.20592e-05,2.24966e-08,
13478,0.441678,0.0433659,0.000916929,0.00012956,3.60511e-08,2.58112e-05,2.63523e-08,
13465.5,0.44189,0.0432918,0.000898954,0.000120966,3.26523e-08,2.42211e-05,2.29138e-08,
13468.5,0.441678,0.0432421,0.000898176,0.000119255,3.1835e-08,2.38501e-05,2.25799e-08,
13652,0.445304,0.0475069,0.000923241,0.000125139,3.55727e-08,2.63979e-05,2.33197e-08,
13718,0.441517,0.0450627,0.000955424,0.000118747,3.60011e-08,2.50344e-05,1.74278e-08,
13713.5,0.441104,0.0449419,0.00095265,0.000121846,3.62853e-08,2.54609e-05,2.01664e-08,
13508,0.443212,0.0442886,0.000959806,7.66868e-05,1.82719e-08,1.60497e-05,9.94962e-09,
13405.5,0.452818,0.0482246,0.000892717,0.000130713,3.8908e-08,2.84906e-05,2.19074e-08,
13964,0.464063,0.0376694,0.000959969,0.000272924,1.33985e-07,-3.93161e-06,3.95421e-08,
13701,0.450721,0.0372454,0.000144496,0.000175259,2.62551e-08,2.58525e-06,-9.40858e-09,
13352,0.445242,0.0431889,0.000960852,8.30162e-05,2.34274e-08,1.68088e-05,9.39061e-10,
13579.5,0.444395,0.0445611,0.000678532,0.000138752,4.10542e-08,2.92376e-05,1.12736e-08,
13500,0.447612,0.0432868,0.000291507,5.67578e-05,7.27133e-09,1.02007e-05,-6.53908e-10,
13417,0.448925,0.0442583,0.000440926,7.01913e-05,1.21146e-08,1.42398e-05,2.3912e-09,
13379,0.448735,0.0448873,0.000524631,7.76362e-05,1.46697e-08,1.63621e-05,5.50416e-09,
13312,0.450837,0.0453259,0.000573282,8.43031e-05,1.7144e-08,1.7913e-05,7.04002e-09,
13340,0.449506,0.0458121,0.000593787,7.98614e-05,1.48675e-08,1.70147e-05,9.02216e-09,
13201.5,0.450952,0.0460515,0.000816997,0.000108251,2.99577e-08,2.32095e-05,1.17864e-08,
13218.5,0.450849,0.0457549,0.000849133,0.000133523,4.33069e-08,2.83522e-05,1.20771e-08,
13209,0.450337,0.0458227,0.000943262,0.000139902,4.92195e-08,2.97156e-05,1.26626e-08,
13107,0.447039,0.0446562,0.000750035,0.000110925,2.8645e-08,2.34405e-05,1.42528e-08,
13107,0.447039,0.0446562,0.000750035,0.000110925,2.8645e-08,2.34405e-05,1.42528e-08,
13251.5,0.444182,0.0433816,0.000883535,0.000106321,3.02705e-08,2.20831e-05,1.20665e-08,
13249.5,0.444242,0.0434208,0.000889524,0.000107131,3.07265e-08,2.2261e-05,1.22316e-08,
13245,0.441501,0.0425329,0.00080755,8.89454e-05,2.1808e-08,1.82835e-05,9.62615e-09,
13222,0.443188,0.0427971,0.000841868,0.000106756,2.81984e-08,2.2069e-05,1.5137e-08,
13307,0.434725,0.0389056,0.00115059,0.000124447,4.38717e-08,2.44841e-05,1.71128e-08,
13354,0.433073,0.038825,0.00117749,0.000121352,4.27077e-08,2.38563e-05,1.67429e-08,
13597,0.433424,0.0391998,0.000652006,5.37491e-05,8.31699e-09,1.0638e-05,5.66311e-09,
13569,0.434799,0.0397026,0.000642969,5.52935e-05,9.07599e-09,1.10088e-05,5.13052e-09,
13388.5,0.438652,0.0396988,0.000682337,5.9587e-05,1.04617e-08,1.17989e-05,5.90892e-09,
13585,0.435732,0.0395158,0.000464057,4.26807e-05,4.48369e-09,8.48285e-06,3.99707e-09,
13569.5,0.436307,0.039555,0.000612858,5.12364e-05,7.55032e-09,1.01591e-05,5.04227e-09,
13647.5,0.434486,0.0388925,0.0004706,3.89802e-05,3.92267e-09,7.68063e-06,3.53352e-09,
13682.5,0.433443,0.0382735,0.000437853,3.10005e-05,2.3777e-09,6.06475e-06,2.71868e-09,
13678.5,0.434128,0.0381683,0.000426392,3.72443e-05,2.65636e-09,7.2513e-06,3.86942e-09,
13672.5,0.434299,0.0381813,0.000430633,3.65471e-05,2.66806e-09,7.12385e-06,3.72868e-09,
13489,0.437566,0.0382777,0.000469396,4.50453e-05,1.26801e-09,8.23048e-06,6.42614e-09,
13761.5,0.431734,0.0371455,0.000372611,3.1727e-05,6.82303e-10,5.73186e-06,3.38147e-09,
13645.5,0.434242,0.0373633,0.000413096,5.60013e-05,2.50362e-09,1.03246e-05,8.14146e-09,
13569.5,0.429791,0.0344452,0.000431857,2.93133e-05,-2.46432e-10,4.67217e-06,3.28891e-09,
13594.5,0.429585,0.034467,0.00039768,2.19327e-05,-5.21928e-10,3.18866e-06,1.98074e-09,
13623.5,0.428469,0.034258,0.000379593,2.38741e-05,-4.32022e-10,3.54577e-06,2.2313e-09,
13771.5,0.434763,0.037042,0.000508773,6.68785e-05,7.04084e-09,1.27196e-05,1.01299e-08,
13711.5,0.42708,0.0337874,0.000317294,3.68133e-05,-8.82577e-10,5.67786e-06,3.87954e-09,
