area,h1,h2,h3,h4,h5,h6,h7
8915.5,0.323372,0.00376992,0.000760673,0.000100044,1.38569e-08,3.38103e-06,2.38678e-08,
8915.5,0.323372,0.00376992,0.000760673,0.000100044,1.38569e-08,3.38103e-06,2.38678e-08,
8836.5,0.328235,0.00468944,0.000637028,8.97191e-05,1.13292e-08,3.7377e-06,1.82129e-08,
8852,0.324328,0.00404799,0.000676622,0.000100463,2.07047e-08,4.84543e-06,1.60431e-08,
8826.5,0.325216,0.00420302,0.000694224,9.93466e-05,2.14838e-08,5.05002e-06,1.48037e-08,
8825.5,0.325279,0.00420586,0.000694199,9.91434e-05,2.14682e-08,5.05052e-06,1.46843e-08,
8659,0.330382,0.00426859,0.000616951,7.43309e-05,1.13561e-08,3.38519e-06,1.1154e-08,
8482.5,0.332575,0.00388675,0.00058287,8.96216e-05,7.35437e-09,1.84142e-06,1.91178e-08,
8921,0.324363,0.00377138,0.000712318,9.1307e-05,1.64188e-08,3.25216e-06,1.65123e-08,
8981.5,0.324376,0.00372466,0.000801551,9.96629e-05,2.14615e-08,4.31582e-06,1.82449e-08,
8957.5,0.32634,0.0037496,0.000860598,9.99621e-05,1.74145e-08,3.56434e-06,2.35872e-08,
8953,0.328548,0.00400473,0.00081123,9.88326e-05,1.11749e-08,2.73182e-06,2.56568e-08,
9015.5,0.32978,0.00403246,0.00063346,8.44897e-05,1.47419e-08,3.63792e-06,1.2835e-08,
8912,0.33502,0.00427484,0.000657249,9.50162e-05,1.91389e-08,4.34394e-06,1.40535e-08,
8919.5,0.335409,0.00438678,0.000622827,9.10114e-05,1.75732e-08,4.25045e-06,1.26769e-08,
9233.5,0.32895,0.00367552,0.000738359,7.65773e-05,1.20591e-08,2.34453e-06,1.36434e-08,
9453,0.327752,0.00372462,0.000834647,0.000106234,1.80471e-08,3.18508e-06,2.59806e-08,
9735.5,0.327972,0.00338688,0.000829905,9.96444e-05,2.13776e-08,3.17649e-06,1.90809e-08,
9692,0.329459,0.00356929,0.000741305,9.77437e-05,1.94861e-08,3.38991e-06,1.76789e-08,
9700,0.328992,0.00352537,0.000731761,9.93336e-05,2.01359e-08,3.50053e-06,1.76572e-08,
9339.5,0.33891,0.00434196,0.00158715,0.000156851,3.73561e-08,4.18947e-06,6.87686e-08,
9357.5,0.34208,0.00467638,0.00146792,0.000171942,7.7921e-08,8.77971e-06,3.72857e-08,
10003.5,0.331484,0.00337846,0.00101811,9.54551e-05,2.14729e-08,3.25931e-06,2.06016e-08,
9975.5,0.330916,0.00349642,0.000873842,7.80536e-05,8.29282e-09,1.63279e-06,1.86217e-08,
9900,0.343066,0.0066397,0.00216613,0.000336301,2.73377e-07,1.81451e-05,8.74882e-08,
10190.5,0.339939,0.00405691,0.00117159,0.00010194,3.4688e-08,4.15415e-06,6.153e-09,
10168.5,0.342745,0.00417881,0.00130943,0.000117171,4.54655e-08,4.9712e-06,6.27042e-09,
10184,0.341016,0.0039535,0.00128593,0.000118627,4.59601e-08,5.19705e-06,5.86068e-09,
10151.5,0.33762,0.00466871,0.0021642,7.17321e-05,2.82498e-08,2.57891e-06,8.63999e-10,
10048.5,0.342112,0.00502775,0.00244397,0.000187069,9.96729e-08,3.88259e-06,7.78762e-08,
10445,0.336348,0.00344335,0.00267808,0.000103179,1.17054e-08,-1.47159e-06,5.29595e-08,
10957,0.329832,0.00466462,0.00143084,4.00915e-05,3.28547e-09,2.56896e-06,-9.02268e-09,
10885,0.326852,0.00404547,0.00181224,7.58413e-05,1.42204e-08,4.36077e-06,-2.42557e-08,
10747,0.33007,0.00388391,0.00199155,0.000102521,2.02875e-08,6.04346e-06,-4.1646e-08,
10766,0.330001,0.00398485,0.00125223,0.000118054,3.5409e-08,7.05359e-06,-2.83987e-08,
10536,0.340881,0.00540231,0.00162005,1.59739e-05,2.15357e-09,9.92816e-07,-1.40192e-09,
10733.5,0.339189,0.00432856,0.00129877,2.28859e-05,3.87882e-09,7.42503e-07,7.23046e-10,
11462.5,0.322384,0.00362178,0.000765077,5.11945e-05,1.00374e-08,1.83123e-06,1.37968e-09,
11762.5,0.318157,0.00336257,0.00111193,0.000107437,3.62215e-08,3.27683e-06,8.18204e-09,
11713.5,0.320132,0.00374609,0.00102034,9.121e-05,2.74685e-08,3.26373e-06,4.44033e-09,
11819.5,0.319885,0.00331235,0.00110012,0.000104938,3.15062e-08,2.55516e-06,1.66927e-08,
12027.5,0.317987,0.00316876,0.000974665,0.000116687,3.64663e-08,2.83537e-06,1.47901e-08,
12263,0.317607,0.00376726,0.000730663,7.83574e-05,1.87407e-08,3.36805e-06,-5.596e-10,
12167,0.322059,0.0039025,0.000879608,8.00801e-05,1.98712e-08,2.20799e-06,7.53984e-09,
12432.5,0.319719,0.00429093,0.00067998,7.6274e-05,1.71215e-08,2.87388e-06,2.93099e-09,
12432.5,0.31978,0.00430297,0.000677813,7.68856e-05,1.72857e-08,2.8888e-06,3.04484e-09,
12652,0.32009,0.00353419,0.000594901,7.09337e-05,1.23498e-08,1.66093e-06,7.73353e-09,
12653.5,0.320125,0.00352565,0.00059391,7.08507e-05,1.23656e-08,1.65639e-06,7.63684e-09,
12704.5,0.319934,0.00335273,0.000723689,7.58429e-05,1.28493e-08,9.24563e-07,1.22724e-08,
12704,0.320023,0.00334236,0.000721854,7.59188e-05,1.30327e-08,9.52899e-07,1.20835e-08,
12827.5,0.320606,0.00341231,0.00070378,8.08872e-05,1.33194e-08,1.1181e-06,1.3966e-08,
12900.5,0.321862,0.00346848,0.00074143,7.87745e-05,1.21061e-08,7.99914e-07,1.46927e-08,
13059,0.322629,0.00366766,0.000837062,8.71807e-05,1.70173e-08,1.06364e-06,1.62807e-08,
13042,0.323552,0.00374289,0.000751584,7.96944e-05,1.42122e-08,1.1895e-06,1.33578e-08,
13043,0.323513,0.0037441,0.000750466,7.85282e-05,1.37513e-08,1.13942e-06,1.32031e-08,
13231.5,0.32207,0.00342385,0.000691305,7.57332e-05,8.43605e-09,1.84418e-07,1.51365e-08,
13209.5,0.323506,0.00335816,0.000814702,7.77747e-05,8.13642e-09,5.41616e-08,1.78066e-08,
13520,0.322756,0.00341163,0.000695862,7.47971e-05,7.28063e-09,2.38974e-07,1.54332e-08,
13517,0.32277,0.00338527,0.00069763,7.64512e-05,7.07028e-09,1.56542e-07,1.61784e-08,
13707,0.321946,0.00318298,0.000787124,7.82014e-05,7.94015e-09,-1.48802e-07,1.77027e-08,
13709,0.32223,0.00323303,0.000742814,7.5104e-05,6.91334e-09,-1.81499e-07,1.63366e-08,
13762.5,0.324565,0.00322448,0.000785848,8.13154e-05,9.60329e-09,1.78548e-07,1.81743e-08,
14227,0.32095,0.00331284,0.000759743,7.95745e-05,8.39272e-09,-8.5965e-08,1.76742e-08,
14205,0.321414,0.00333749,0.000764474,7.93159e-05,9.03479e-09,1.76859e-08,1.73155e-08,
14334,0.321131,0.00325862,0.000779084,8.41441e-05,8.45274e-09,-2.94181e-07,1.98166e-08,
14403.5,0.323362,0.00321864,0.000846847,8.95772e-05,1.18717e-08,7.65814e-08,2.16276e-08,
14396.5,0.323684,0.00321746,0.000837124,8.87731e-05,1.20447e-08,1.61809e-07,2.09898e-08,
14418.5,0.323373,0.00325943,0.000808012,8.84291e-05,1.08705e-08,1.7794e-07,2.09896e-08,
14588.5,0.323907,0.00320904,0.000795506,9.10782e-05,1.22255e-08,2.68714e-07,2.12498e-08,
14956.5,0.322727,0.00335291,0.000791789,8.695e-05,1.11373e-08,7.15862e-08,1.99113e-08,
15021.5,0.322668,0.00310637,0.000705549,8.82843e-05,1.22217e-08,2.41959e-07,1.83335e-08,
15231,0.325089,0.00350967,0.000766567,9.61531e-05,1.39544e-08,-2.00481e-08,2.20621e-08,
15227,0.325053,0.00349323,0.000772601,9.39836e-05,1.31163e-08,-1.03087e-07,2.16642e-08,
15220,0.325215,0.00349596,0.000772119,9.44005e-05,1.35676e-08,-5.09705e-08,2.15746e-08,
15409.5,0.322392,0.00331202,0.000812425,9.37245e-05,1.14634e-08,-2.24948e-07,2.31832e-08,
15544.5,0.321923,0.00333932,0.000780561,8.99283e-05,1.02974e-08,-2.89409e-07,2.14857e-08,
15543.5,0.321934,0.00333691,0.000783689,9.01729e-05,1.03445e-08,-2.94794e-07,2.16241e-08,
15487,0.324615,0.00360499,0.00077299,8.93641e-05,1.00174e-08,-1.40477e-07,2.12438e-08,
15340.5,0.326065,0.00381081,0.000733233,8.38477e-05,7.66765e-09,-2.77508e-07,1.93245e-08,
15351,0.325753,0.00383333,0.000738154,8.70217e-05,8.50785e-09,-1.83123e-07,2.03484e-08,
15351,0.325753,0.00383333,0.000738154,8.70217e-05,8.50785e-09,-1.83123e-07,2.03484e-08,
15053.5,0.329514,0.00420727,0.000692061,8.49097e-05,6.79725e-09,-9.09097e-08,1.94282e-08,
14682.5,0.333691,0.00441996,0.000825567,8.24069e-05,6.65553e-09,-4.45081e-07,2.04378e-08,
14483,0.332496,0.00434632,0.000807615,7.73504e-05,6.11231e-09,-2.93026e-07,1.83412e-08,
14145,0.334938,0.00438052,0.000731161,7.99306e-05,5.04651e-09,-5.47944e-07,1.86524e-08,
14140,0.335031,0.00435247,0.000737025,7.96434e-05,5.70597e-09,-4.66383e-07,1.8433e-08,
13785.5,0.33695,0.00410298,0.000684341,7.38923e-05,5.75482e-09,-5.48376e-07,1.55879e-08,
13783,0.337058,0.00410416,0.000688798,7.54808e-05,5.45653e-09,-6.32065e-07,1.63229e-08,
13529,0.33783,0.00423995,0.000671538,6.88255e-05,6.28298e-09,-6.46401e-07,1.33963e-08,
13534.5,0.338353,0.0042583,0.000664001,6.96174e-05,6.05697e-09,-6.5675e-07,1.36876e-08,
13323.5,0.339522,0.00423777,0.000701676,7.14727e-05,9.24174e-09,-3.50939e-07,1.30682e-08,
13404.5,0.33686,0.00411825,0.000730296,7.89677e-05,3.17842e-09,-9.6721e-07,1.86954e-08,
13252,0.338221,0.00444613,0.000820012,7.86694e-05,2.09917e-09,-8.14114e-07,1.98705e-08,
13257,0.338219,0.00444145,0.000826567,7.71703e-05,1.82578e-09,-8.45314e-07,1.94044e-08,
13248,0.338094,0.00439458,0.000840168,7.92487e-05,2.11601e-09,-8.90897e-07,2.03392e-08,
13012.5,0.339238,0.00414069,0.000790628,8.01811e-05,3.41995e-09,-8.92031e-07,1.98963e-08,
13215,0.331451,0.00374336,0.000729043,7.04347e-05,-4.19009e-09,-1.66638e-06,1.54011e-08,
12971.5,0.334279,0.00390675,0.000680029,7.4444e-05,-3.11793e-09,-1.52498e-06,1.6457e-08,
12970.5,0.334282,0.00390507,0.00067904,7.4513e-05,-3.10897e-09,-1.52428e-06,1.647e-08,
12771,0.334434,0.00369187,0.000771256,8.21982e-05,-4.15866e-09,-1.81066e-06,2.02742e-08,
12755,0.335128,0.00372176,0.00072194,7.73405e-05,-4.51931e-09,-1.76703e-06,1.77075e-08,
12772,0.333794,0.00395261,0.000779822,8.70574e-05,-5.28879e-09,-1.39247e-06,2.20581e-08,
12495.5,0.338614,0.00418162,0.000929488,0.000108973,-9.09987e-09,-2.27959e-06,3.34668e-08,
12511.5,0.338668,0.00409917,0.000931297,0.000108862,-8.34319e-09,-2.24357e-06,3.36434e-08,
12665,0.336365,0.00433458,0.000929659,0.000100398,-9.62551e-09,-2.02396e-06,2.91232e-08,
12881,0.333709,0.00421598,0.00087619,9.00255e-05,-7.29782e-09,-2.03322e-06,2.4208e-08,
12877.5,0.333885,0.00410942,0.000895797,9.36605e-05,-1.02687e-08,-2.49756e-06,2.51108e-08,
12877,0.334159,0.00413436,0.000885266,9.43188e-05,-1.03219e-08,-2.47016e-06,2.52241e-08,
13060.5,0.329386,0.0042681,0.000841866,9.79729e-05,-9.51265e-09,-2.08821e-06,2.64804e-08,
13011,0.330513,0.00451211,0.000910379,0.000102936,-6.25172e-09,-1.79164e-06,3.08848e-08,
13051,0.328462,0.0046729,0.000842898,9.62719e-05,-8.58901e-09,-1.84128e-06,2.60447e-08,
12981,0.329562,0.00469305,0.000889419,9.80996e-05,-1.03442e-08,-2.18811e-06,2.70679e-08,
12938,0.329497,0.00475371,0.000902661,0.000102249,-9.96018e-09,-2.11078e-06,2.94234e-08,
12938.5,0.32957,0.00475652,0.000906281,0.000102489,-9.81948e-09,-2.0886e-06,2.96517e-08,
