area,h1,h2,h3,h4,h5,h6,h7
5250,1.49665,1.05643,0.218576,0.132614,0.00630787,-0.0216216,0.021679,
5283.5,1.48052,1.04209,0.2143,0.134991,0.00780952,-0.0156673,0.0215908,
5294,1.48665,1.05093,0.214583,0.12848,0.00625518,-0.0188584,0.0203952,
5294,1.48665,1.05093,0.214583,0.12848,0.00625518,-0.0188584,0.0203952,
5258.5,1.48704,1.06153,0.216565,0.130767,0.00659673,-0.0183325,0.0209941,
5260,1.48646,1.07334,0.211221,0.142247,0.0100752,-0.00410951,0.0225041,
5281,1.47427,1.0406,0.220504,0.15326,0.012559,0.00529544,0.02522,
5284,1.47359,1.03882,0.220223,0.153351,0.0126189,0.00543028,0.0251982,
5277.5,1.46753,1.02927,0.218952,0.139057,0.00842897,-0.0111342,0.0227531,
5265,1.4947,1.05417,0.216133,0.1429,0.00921543,-0.00745673,0.0233618,
5222,1.49427,1.07574,0.229754,0.154514,0.0129259,0.00560365,0.0260859,
5219,1.49983,1.05893,0.226496,0.137233,0.00710961,-0.0170557,0.0231263,
5219,1.49983,1.05893,0.226496,0.137233,0.00710961,-0.0170557,0.0231263,
5243.5,1.48643,1.04787,0.220748,0.151387,0.0117711,0.00136961,0.0250464,
5182.5,1.50957,1.07488,0.233371,0.15062,0.0100725,-0.00534907,0.0263814,
5165.5,1.51019,1.08025,0.22637,0.146128,0.00917236,-0.00795828,0.0249444,
5165.5,1.51019,1.08025,0.22637,0.146128,0.00917236,-0.00795828,0.0249444,
5014,1.53944,1.09036,0.259456,0.123982,-0.00248224,-0.0568685,0.0220978,
4965.5,1.5446,1.09597,0.272507,0.128128,-0.00348107,-0.0589969,0.0236872,
5020,1.53543,1.079,0.257699,0.125576,-0.00235972,-0.0552476,0.0224663,
5033.5,1.53218,1.07684,0.266582,0.14016,0.00186385,-0.0378348,0.0270285,
5033.5,1.53218,1.07684,0.266582,0.14016,0.00186385,-0.0378348,0.0270285,
5084,1.51952,1.04443,0.249896,0.129195,-0.000614495,-0.0474141,0.0232058,
5107,1.51167,1.03193,0.241888,0.123389,-0.00209753,-0.0537439,0.0212133,
5129,1.51323,1.06014,0.242133,0.139629,0.00517572,-0.0208481,0.0251467,
5129,1.51323,1.06014,0.242133,0.139629,0.00517572,-0.0208481,0.0251467,
5184,1.49867,1.05391,0.232161,0.149227,0.00940059,-0.00178416,0.0261367,
5125.5,1.51393,1.06642,0.23942,0.149622,0.0083283,-0.00998988,0.0270665,
5101.5,1.51881,1.05725,0.262664,0.142704,0.00472315,-0.0317576,0.0272218,
5099,1.51553,1.05114,0.254662,0.12575,-0.00110856,-0.0516547,0.022476,
5099,1.51553,1.05114,0.254662,0.12575,-0.00110856,-0.0516547,0.022476,
5065.5,1.5161,1.05637,0.275731,0.137187,0.000827253,-0.0474108,0.0266687,
5082,1.52293,1.06096,0.26624,0.138193,0.00275752,-0.0419954,0.0263636,
5063,1.52068,1.05172,0.272319,0.136887,0.000872399,-0.0479348,0.0264146,
5063,1.52068,1.05172,0.272319,0.136887,0.000872399,-0.0479348,0.0264146,
5017,1.53442,1.07972,0.274854,0.133001,-0.00108012,-0.0565839,0.0254063,
5140,1.507,1.0565,0.253635,0.131369,0.00265021,-0.0384559,0.0238328,
5119.5,1.50269,1.0505,0.255884,0.142516,0.00609556,-0.0283132,0.026524,
5144.5,1.50422,1.05365,0.245126,0.138685,0.00447412,-0.0307882,0.0251762,
5143.5,1.50478,1.05451,0.24518,0.138775,0.00449792,-0.0307302,0.0252,
5147,1.49025,1.03333,0.25356,0.148375,0.00754146,-0.0207896,0.0277738,
5134.5,1.50383,1.05802,0.248839,0.149273,0.00843995,-0.0175738,0.0275036,
5139,1.5047,1.05666,0.24711,0.145044,0.00752419,-0.020844,0.0264087,
5139,1.5047,1.05666,0.24711,0.145044,0.00752419,-0.020844,0.0264087,
5151.5,1.49962,1.04156,0.249805,0.146026,0.00735358,-0.023643,0.0269028,
5222,1.49049,1.03987,0.231016,0.136594,0.00617914,-0.0248478,0.0234644,
5243.5,1.48707,1.02818,0.224421,0.130359,0.00510925,-0.0278989,0.0217035,
5243.5,1.48707,1.02818,0.224421,0.130359,0.00510925,-0.0278989,0.0217035,
5203,1.48496,1.0334,0.240527,0.143963,0.00755934,-0.0204059,0.0257006,
5183,1.49414,1.04553,0.239481,0.145351,0.00772724,-0.0195478,0.025994,
5186,1.50774,1.05809,0.234399,0.141065,0.00729896,-0.0225428,0.0245906,
5198.5,1.50055,1.05485,0.229877,0.138201,0.00678761,-0.0228422,0.0236792,
5198.5,1.50055,1.05485,0.229877,0.138201,0.00678761,-0.0228422,0.0236792,
5175.5,1.5075,1.06857,0.244442,0.147009,0.00907813,-0.0178567,0.0263478,
5247.5,1.48588,1.02352,0.243897,0.14217,0.00800986,-0.019495,0.0252329,
5192,1.50239,1.05011,0.243144,0.142118,0.00738412,-0.0219737,0.0253654,
5192,1.50239,1.05011,0.243144,0.142118,0.00738412,-0.0219737,0.0253654,
5183.5,1.50525,1.06547,0.238865,0.141392,0.00687684,-0.0246307,0.0250581,
5241,1.48731,1.02855,0.234106,0.136551,0.00555061,-0.0290349,0.0237751,
5285.5,1.47033,1.01253,0.23308,0.139683,0.00691789,-0.0199502,0.024236,
5258.5,1.49062,1.03802,0.237115,0.145644,0.00888,-0.016981,0.0255673,
5256.5,1.49137,1.03891,0.237558,0.146227,0.00904177,-0.0165591,0.0257102,
5286.5,1.4625,1.00216,0.239,0.128169,0.00259332,-0.0365584,0.0222818,
5302.5,1.48177,1.0259,0.236726,0.125178,0.00237154,-0.0395511,0.0214175,
5358,1.47297,1.01143,0.227769,0.129244,0.00497464,-0.0288646,0.0216097,
5356,1.4726,1.00956,0.228613,0.128357,0.00448744,-0.0307276,0.0215249,
5293,1.50016,1.06127,0.241879,0.132157,0.00445336,-0.0331251,0.0232049,
5407,1.48259,1.02648,0.236106,0.132391,0.00483317,-0.0290992,0.0229024,
5405,1.49245,1.03884,0.229631,0.124042,0.00200516,-0.0415646,0.0208384,
5420,1.50763,1.0545,0.230248,0.11725,-0.00027197,-0.0493064,0.019263,
5427,1.50535,1.0517,0.228206,0.115295,-0.000699459,-0.0506581,0.0186885,
5477.5,1.50994,1.05916,0.238395,0.125646,0.00187246,-0.0430399,0.0216648,
5578,1.49521,1.04905,0.230506,0.116011,0.000515871,-0.0449999,0.0189639,
5613,1.49754,1.06406,0.227282,0.115449,0.000970014,-0.0438308,0.018676,
5613,1.49754,1.06406,0.227282,0.115449,0.000970014,-0.0438308,0.018676,
